,Unnamed: 0,Top ten entry date,Single,Artist(s),Peak,Peak date,Weeks in top ten,Spotify id
0,0,August 4,Poor Little Fool,Ricky Nelson,1,August 4,6,5ayybTSXNwcarDtxQKqvWX
1,1,August 4,Patricia,Pérez Prado,2,August 4,6,2bwhOdCOLgQ8v6xStAqnju
2,2,August 4,Splish Splash,Bobby Darin,3,August 4,3,40fD7ct05FvQHLdQTgJelG
3,3,August 4,Hard Headed Woman,Elvis Presley,4,August 4,2,32CVurlBxtEYQlDm3yzCLl
4,4,August 4,When,Kalin Twins,5,August 4,5,3HZJ9BLBpDya4p71VfXSWp
5,5,August 4,Rebel 'Rouser,Duane Eddy,6,August 4,3,7jZwak3w1Sbwkb8aqusUwi
6,6,August 4,Yakety Yak,The Coasters,7,August 4,1,3Lbxie6whOW4eMt4jtI32k
7,7,August 4,My True Love,Jack Scott,3,August 18,6,2Un1O9CChp4wyTmt422XwW
8,8,August 4,Willie and the Hand Jive,The Johnny Otis Show,9,August 4,2,0f0FXdyHWAx3q7XyU9oLMI
9,9,August 4,Fever,Peggy Lee,8,August 25,3,3aPlQWU07jGgyHaBHVS5TS
10,10,August 11,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,1,August 18,10,006Ndmw2hHxvnLbJsBFnPx
11,11,August 11,Just a Dream,Jimmy Clanton,4,August 25,8,1LeSp4o3CeNhJz3kCWgi6E
12,12,August 18,Little Star,The Elegants,1,August 25,9,4pAXu3mUCsco6jhaTypLnC
13,13,August 25,Bird Dog,The Everly Brothers,2,September 15,11,2ZCkqAo0tzzCVOth7ityh5
14,14,August 25,Born Too Late,The Poni-Tails,7,September 15,3,3ZyJfbh2Y9y15f45qY1pDJ
15,15,September 1,Ginger Bread,Frankie Avalon,9,September 1,2,70FdlOx7tulYnp2IkS6qQw
16,16,September 1,Are You Really Mine?,Jimmie Rodgers,10,September 1,1,2oPz7fWUmfeNG00NVf5uNa
17,17,September 8,Rockin' Robin,Bobby Day,2,October 13,10,4FlYcJnfkeBpowEHJ72Bmt
18,18,September 8,Western Movies,The Olympics,8,September 15,2,398Q0gLfmsjJ5GFx9W2q5Y
19,19,September 15,It's All in the Game,Tommy Edwards,1,September 29,12,2tvt5K7y1gndmCgtIoLo1f
20,20,September 15,Tears on My Pillow,Little Anthony and the Imperials,4,October 13,8,07ePHsQ0SopWrnCbNjNC2D
21,21,September 15,Susie Darlin',Robin Luke,5,October 13,7,1xjCGpAJVRAECqs5Pt6Gw1
22,22,September 22,Devoted to You,The Everly Brothers,10,September 22,1,4FrMb1ckGBrhARbHySQKx5
23,23,September 29,Summertime Blues,Eddie Cochran,8,September 29,2,3oAWTk92mZBxKBOKf8mR5v
24,24,September 29,Near You,Roger Williams,10,September 29,3,0aVMdNotlKqTs5eVAomnBw
25,25,October 6,Tea for Two Cha Cha,Tommy Dorsey,7,November 3,6,3QWUoUlkbCJPAD0YhLjtLS
26,26,October 13,The End,Earl Grant,7,October 13,3,7sEmUltyPUy9v2Of7Whzpy
27,27,October 20,"Topsy, Part 2",Cozy Cole,3,October 20,8,6QPesyILXONwLjJzXbkHuQ
28,28,October 20,It's Only Make Believe,Conway Twitty,1,November 10,10,1xVOttVNT27FBTD8iHjOfU
29,29,October 20,Tom Dooley,The Kingston Trio,1,November 17,12,2qLxtO0iaFGI9x19vU3bDI
30,30,October 20,Chantilly Lace,The Big Bopper,6,November 3,5,07GtDOCxmye5KDWsTSACPk
31,31,November 10,To Know Him Is to Love Him,The Teddy Bears,1,December 1,11,5msxn2HUcd83qOsuQW7Kdb
32,32,November 10,I Got a Feeling,Ricky Nelson,10,November 10,2,1asCFshazteZOYJ6gqv0Fj
33,33,November 17,Beep Beep,The Playmates,4,December 1,7,5TXNLJ2EENAt3Tf9MX4kT2
34,34,November 17,Lonesome Town,Ricky Nelson,7,December 1,8,0SsYlkXxZ5vkWOTsKxMfMz
35,35,November 17,Queen of the Hop,Bobby Darin,9,November 17,3,3iYPe12BAZCKoqeQkloxGJ
36,36,November 24,One Night,Elvis Presley,4,December 15,8,0AzETg7Vecim0WSOp6PyDb
37,37,November 24,I Got Stung,Elvis Presley,8,November 24,4,0IDFXLMABcj61OKI3L05A0
38,38,December 1,Problems,The Everly Brothers,2,December 15,7,4INDiWSKvqSKDEu7mh8HFz
39,39,December 15,The Chipmunk Song (Christmas Don't Be Late),The Chipmunks with David Seville,1,December 22,6,56zzFu50XygqBvhVjL8ebK
40,40,December 15,Smoke Gets in Your Eyes,The Platters,1,January 19,10,2vSxjnyrWrtxyfzO47EX6q
41,41,December 22,A Lover's Question,Clyde McPhatter,6,January 19,7,6HBgCYResmsdmOufyHVoNB
42,42,December 29,Whole Lotta Lovin',Fats Domino,6,January 12,5,6pS2nLsZBUOrMaFMPvFVwM
43,43,January 5,My Happiness,Connie Francis,2,January 19,7,3Caxz7mxX1pTWlxCYH1aV3
44,44,January 5,Gotta Travel On,Billy Grammer,4,January 12,7,3HynxUWKnm7rtzjVkyXoHu
45,45,January 19,Donna,Ritchie Valens,2,February 23,10,0VE4ayVlGs5DBoqOdgJ0Zv
46,46,January 19,16 Candles,The Crests,2,February 9,8,21hXiFWZSLAsJUoolYGV1y
47,47,January 19,Stagger Lee,Lloyd Price,1,February 9,10,7qoaMWT3eRCKG1RN6dVuOY
48,48,January 26,Lonely Teardrops,Jackie Wilson,7,February 9,5,6TYR3IVgIwDK6ydc2EPEQq
49,49,January 26,Goodbye Baby,Jack Scott,8,February 16,4,16HL6HBaqUhWBaxcHMrZEF
50,50,February 2,The All American Boy,Bill Parsons,2,February 2,5,2JXQ9QIe9TaaHpCt0mORyO
51,51,February 9,Manhattan Spiritual,Reg Owen Orchestra,10,February 9,2,7vojiQE3AWHs5lbguT4wYS
52,52,February 23,Charlie Brown,The Coasters,2,March 9,8,6t83zAQg9Efca1u1DPL930
53,53,February 23,I Cried a Tear,LaVern Baker,6,February 23,3,28dTB69zJBpBIiDH32Jp1M
54,54,February 23,Tall Paul,Annette,7,February 23,1,7oJujJSTfOKP1Gw95dK3Sy
55,55,February 23,Petite Fleur,Chris Barber,5,March 2,3,49ENB0tgwiU80dvt57WQ5x
56,56,February 23,Peter Gunn,Ray Anthony,8,March 2,3,4kJjFVt9dnHxz9zwPqzGLt
57,57,March 2,Venus,Frankie Avalon,1,March 9,10,5kqXQHIgQ6UfFP9LfqPNgG
58,58,March 2,Alvin's Harmonica,The Chipmunks with David Seville,3,March 16,6,4aqEPeDRi8EXbOxFwIoaJ8
59,59,March 9,I've Had It,The Bell Notes,6,March 9,4,18N4jiKRHtC5v5bgMtFeUF
60,60,March 9,It's Just a Matter of Time,Brook Benton,3,April 6,7,3UjVdOZBluypI9Qdc4IPsB
61,61,March 16,Tragedy,Thomas Wayne,5,March 23,6,7HX8vPJ5pGW7ZjSGsQym5Y
62,62,March 16,Never Be Anyone Else But You,Ricky Nelson,6,April 6,6,0snHlyyyUp2hKYEz7ffmkx
63,63,March 23,Come Softly to Me,The Fleetwoods,1,April 13,8,603N4XGJUTbK760GLCvIIs
64,64,March 30,Pink Shoe Laces,Dodie Stevens,3,April 13,8,2DifRe6kiKZjeB1IqFl2jJ
65,65,March 30,It's Late,Ricky Nelson,9,April 6,3,3kXzZof9A06NrY4WfETDor
66,66,April 6,Guitar Boogie Shuffle,The Virtues,5,April 27,6,6CIHxvT7MnSGsJLCoihLtV
67,67,April 13,(Now and Then There's) A Fool Such as I,Elvis Presley,2,April 27,5,6aKzxns1rGMjLSij4PuWhh
68,68,April 13,I Need Your Love Tonight,Elvis Presley,4,April 20,5,1SoFz4D2PWB98avdJnt0XD
69,69,April 27,The Happy Organ,Baby,1,May 11,7,6fOxrKUo3f9OX2z6YrBpwy
70,70,April 27,Tell Him No,Travis and Bob,8,April 27,2,6pXCcKNNODIWoaL0ZfRDfu
71,71,April 27,Sorry (I Ran All the Way Home),The Impalas,2,May 11,7,6nii2N9mhMpEXzYZHMCnX2
72,72,April 27,Turn Me Loose,Fabian,9,May 11,4,69giDdJ1HI4Tty5C8Y2Jwt
73,73,May 11,"Kookie, Kookie (Lend Me Your Comb)",Edward Byrnes with Connie Stevens,4,May 11,6,N
74,74,May 11,Kansas City,Wilbert Harrison,1,May 18,8,4GvyP7CnBJEV2t7L7vOkjw
75,75,May 18,A Teenager in Love,Dion and the Belmonts,5,May 18,7,0QGwOFQChzflLAmPq5NwKo
76,76,May 18,Dream Lover,Bobby Darin,2,June 8,10,5XeUMqS6mpTEspPgd5TLtg
77,77,May 18,The Battle of New Orleans,Johnny Horton,1,June 1,13,66eFGhs8LXeBgrXk0YgRJK
78,78,May 18,Quiet Village,Martin Denny,4,June 1,7,1M6OoLriCOZ84NTGkJ9DrR
79,79,May 25,Personality,Lloyd Price,2,June 15,10,7JI1MoBWRQAZFTL5FxrQla
80,80,May 25,Only You (And You Alone),Franck Pourcel's French Fiddles,9,June 1,4,N
81,81,June 15,Tallahassee Lassie,Freddy Cannon,6,June 29,6,5dDs13F0oo7XngcEIgRb2m
82,82,June 15,Lonely Boy,Paul Anka,1,July 13,10,4kh2S9hRpPvoF9JkwZcYGN
83,83,June 22,Along Came Jones,The Coasters,9,June 22,2,7oxjjKuDTPRYpPvYveG6sV
84,84,June 22,Lipstick on Your Collar,Connie Francis,5,June 29,6,6k9j9Fn10bsv107KJtDJnh
85,85,July 6,Waterloo,Stonewall Jackson,4,July 13,6,3YXPyakTFaoVS2ffimogLR
86,86,July 6,Bobby Sox to Stockings,Frankie Avalon,8,July 6,1,3QslWf6jjw6f0by37Zrupd
87,87,July 6,Frankie,Connie Francis,9,July 6,1,3cmGF5NDmyRcc8XM3xbFWb
88,88,July 6,Tiger,Fabian,3,July 20,6,69giDdJ1HI4Tty5C8Y2Jwt
89,89,July 13,My Heart Is an Open Book,Carl Dobkins Jr.,3,August 3,7,4qtJYd4XZAYSTEcTqerc5v
90,90,July 13,A Boy Without a Girl,Frankie Avalon,10,July 13,1,1tSUZkYZICWtuBVi2U885n
91,91,July 20,A Big Hunk o' Love,Elvis Presley,1,August 10,7,4hkr7AcAr7IuKvQxGorXzW
92,92,July 27,There Goes My Baby,The Drifters,2,August 17,6,2s4B4fUlVIkE4ELgoupjXL
93,93,July 27,Forty Miles of Bad Road,Duane Eddy,9,July 27,3,7vvIRamaiahhhXnFzA6wbB
94,94,August 3,Lavender Blue,Sammy Turner,3,August 24,6,6NCl6Ki5yDdh5nqLv9jOxZ
95,95,August 3,Sweeter Than You,Ricky Nelson,9,August 3,1,2W4YmBtJn5bfj4bmULW8VJ
96,96,August 10,What a Diff'rence a Day Makes,Dinah Washington,8,August 10,3,66iKqUazBbTlAEjcZrpDkD
97,97,August 10,What'd I Say,Ray Charles,6,August 17,5,5yQ9iMZXGcr5rlO4hoLsP4
98,98,August 17,The Three Bells,The Browns,1,August 24,10,24SbmQo3XQkNLpSBYda4DA
99,99,August 17,Just a Little Too Much,Ricky Nelson,9,August 17,1,2OBi2t8GK7X0GQdu4v5y91
100,100,August 24,Sea of Love,Phil Phillips,2,August 24,6,4gUDdUr5yK0JGlR49zSRVt
101,101,August 24,Sleep Walk,Santo & Johnny,1,September 21,9,0yK8sWD6cfrc7pGfaPIcZH
102,102,August 24,I Want to Walk You Home,Fats Domino,8,September 14,5,4XnSCEkdPr1426PJoLXvTZ
103,103,August 31,I'm Gonna Get Married,Lloyd Price,3,September 14,6,3ewKZmCc9WuIs31e37YGdi
104,104,August 31,Red River Rock,Johnny and the Hurricanes,5,September 7,6,643QHUvRNchbEDfcDvMILB
105,105,September 7,(Till) I Kissed You,The Everly Brothers,4,September 21,7,5u1GLHb5vNnbKZr4WDekbz
106,106,September 7,Broken Hearted Melody,Sarah Vaughan,7,September 7,4,43zIzwzVqI51alZlyKbKi4
107,107,September 14,Mack the Knife,Bobby Darin,1,October 5,16,3E5ndyOfO6vFDEIE42HA8o
108,108,September 14,Baby Talk,Jan and Dean,10,September 14,1,2aBNUHJEIZhNePKpCEBAW0
109,109,September 21,Put Your Head on My Shoulder,Paul Anka,2,October 5,11,2DpJ9T2RVRanZcYFHKOAfA
110,110,September 28,Teen Beat,Sandy Nelson,4,October 19,8,0b6gDFi2UJhDDFk3vOIHxL
111,111,October 5,Mr. Blue,The Fleetwoods,1,November 16,11,6bnFjTW3EnMG4BwreDnSHK
112,112,October 5,Poison Ivy,The Coasters,7,October 12,5,5sbN2KexToBTtNiuhwysxo
113,113,October 12,Just Ask Your Heart,Frankie Avalon,7,October 26,4,2kvGBpbSelWMg69ZUNkQ7i
114,114,October 12,Lonely Street,Andy Williams,5,November 9,6,550FQ4MdyQ0J9kYdF6OVMO
115,115,October 26,Don't You Know?,Della Reese,2,November 30,8,3yIBU17cLkuB8tKMymOLvX
116,116,October 26,Primrose Lane,Jerry Wallace,8,October 26,5,1GgsJZXorTaAxn1kmXraMB
117,117,October 26,Deck of Cards,Wink Martindale,7,November 2,5,4U3S2BgQeX25uW0fEPDSSt
118,118,November 9,Seven Little Girls Sitting in the Backseat,Paul Evans,9,November 9,2,N
119,119,November 9,Heartaches by the Number,Guy Mitchell,1,December 14,10,0mmveflIg5uKskiCOdRV3e
120,120,November 16,So Many Ways,Brook Benton,6,November 23,5,7lNzlLRc4THb3B62qywIRw
121,121,November 23,In the Mood,Ernie Fields,4,December 14,4,6nCRUa8xPE59AyOfZBr3Qt
122,122,November 23,We Got Love,Bobby Rydell,6,December 7,5,5O11gVu4Sm3B7yjQ2rELoY
123,123,November 30,Be My Guest,Fats Domino,8,December 7,2,5UNgEkAGHeLHvAVNdi4okj
124,124,December 7,Oh! Carol,Neil Sedaka,9,December 7,1,5zvOXJrzzUlvXwyuwZ0toZ
125,125,December 7,Danny Boy,Conway Twitty,10,December 7,1,2O7KD1tW6eyLLSE7ce0ohD
126,126,December 14,Why,Frankie Avalon,1,December 28,9,1Lw3f4kieVLzwPPItlO4bS
127,127,December 14,It's Time to Cry,Paul Anka,4,December 28,5,6dAqyQn8GS2RYRqyP5eKTp
128,128,December 14,The Big Hurt,Miss Toni Fisher,3,December 28,8,3fGU9l1LCWwaabxLz0In7p
129,129,December 21,Among My Souvenirs,Connie Francis,7,December 28,5,6EkeTn530FSyUGdoC7ZpoL
130,130,December 21,Hound Dog Man,Fabian,9,December 28,2,3BmaaYnFoZc9I8zTaYNUCc
131,131,December 21,El Paso,Marty Robbins,1,January 4,9,4f8hBeMXMvssn6HtFAtblo
132,132,December 21,Way Down Yonder in New Orleans,Freddy Cannon,3,January 11,7,6E7f8UOCFwyhjTgPUJTbxk
133,133,December 28,Pretty Blue Eyes,Steve Lawrence,9,January 4,6,7HDyKTm5e7XV6qszYSSlku
134,134,January 4,Running Bear,Johnny Preston,1,January 18,10,1mE8QtaSFxEQnr3SgxmIRf
135,135,January 4,"Go, Jimmy, Go",Jimmy Clanton,5,February 1,5,2TSc7ee1OQPb4tuXsi2X7W
136,136,January 18,The Village of St. Bernadette,Andy Williams,7,January 25,2,076MbdGIiRAfHrGuXXPmkz
137,137,January 18,Teen Angel,Mark Dinning,1,February 8,10,7aNVTsJFlnaUTEBO6fvWho
138,138,January 25,Where or When,Dion and the Belmonts,3,February 8,5,1ZsHsqO3nrafksXkOBeUXG
139,139,February 1,Handy Man,Jimmy Jones,2,February 29,9,63l4KCU2ZpXodzDzuHtyu4
140,140,February 8,Lonely Blue Boy,Conway Twitty,6,February 8,3,555aGlegOjCZVH9ifvf61s
141,141,February 8,What in the World's Come Over You,Jack Scott,5,February 22,7,3XToK0X499i9odkrDCG4FL
142,142,February 8,He'll Have to Go,Jim Reeves,2,March 7,12,7DH5dXVuQaqcKf9oTy9oUN
143,143,February 8,You Got What It Takes,Marv Johnson,10,February 8,1,7FiFvUrY0InlTHzVKiCwzn
144,144,February 15,Theme from A Summer Place,Percy Faith,1,February 22,12,6zwvB879PJSpTyFcg2wwnL
145,145,February 15,Let It Be Me,The Everly Brothers,7,February 22,4,0Tjdbd83LEAWrA0atsXMDJ
146,146,February 22,Beyond the Sea,Bobby Darin,6,February 29,4,3KzgdYUlqV6TOG7JCmx2Wg
147,147,February 29,Wild One,Bobby Rydell,2,March 28,8,3ZAC5Rs6R7w1NyZ4vMIDXe
148,148,February 29,Baby (You've Got What It Takes),Dinah Washington and Brook Benton,5,March 21,6,1kxk1MnNnKBEQZdTrByDic
149,149,March 14,Harbor Lights,The Platters,8,March 28,4,3bZGw3sNQ1rQoosJzr7G2e
150,150,March 14,Puppy Love,Paul Anka,2,April 4,7,5kA88W2SwVZiPb9rEwnQj6
151,151,March 21,Sweet Nothin's,Brenda Lee,4,April 18,7,4ZiDhG5Ift5I6reAEOBBec
152,152,March 28,"O, Dio Mio",Annette,10,March 28,1,6kFmfcqpy1ok5wfls2yCtZ
153,153,March 28,Forever,The Little Dippers,9,March 28,1,3Am0IbOxmvlSXro7N5iSfZ
154,154,April 4,Sink the Bismarck,Johnny Horton,3,April 25,7,4F7T8NnGKbhLMVtAMycDQg
155,155,April 4,Footsteps,Steve Lawrence,7,April 4,2,2z1mnBJRjXUpD2RFXRBm2p
156,156,April 4,Mama,Connie Francis,8,April 11,3,5htJrzx9BOWrWWuTFRbehY
157,157,April 11,Greenfields,The Brothers Four,2,April 18,9,7LAsDdinXejDwodvelVVTa
158,158,April 11,I Love the Way You Love,Marv Johnson,9,April 11,1,5fKtOWJBrfgp0XNxbGs2rt
159,159,April 18,Stuck on You,Elvis Presley,1,April 25,10,39zODpVtRvghMyfNjZ3BVK
160,160,April 18,Sixteen Reasons,Connie Stevens,3,May 2,7,0oI0ekrSQ3aHiHcMi1B2gK
161,161,April 25,The Old Lamplighter,The Browns,5,May 2,3,0gssZyDIxrn2CsokEML0xq
162,162,April 25,White Silver Sands,Bill Black's Combo,9,April 25,1,7IS9MwiLJp91PEyoUDazqb
163,163,May 2,Night,Jackie Wilson,4,May 9,6,3Iho1Q9jDg1VY7a0bA1ml7
164,164,May 2,Cradle of Love,Johnny Preston,7,May 2,5,6hHTKiIdjR9b7fUfZEHedZ
165,165,May 2,Let the Little Girl Dance,Billy Bland,7,May 16,4,6Mgvv7pE0XeyFnTVYsabKp
166,166,May 9,Stairway to Heaven,Neil Sedaka,9,May 9,1,2bHXXAgNA9MMvHE2e6Dgay
167,167,May 9,Cathy's Clown,The Everly Brothers,1,May 23,9,27bw4i8LnECzVlbMZ4kFHw
168,168,May 16,Good Timin',Jimmy Jones,3,May 23,7,52BR7Vx8Zh3BENnHztAE5Q
169,169,May 16,He'll Have to Stay,Jeanne Black,4,May 30,6,4OgCE8bmGO7eatG3OuBEju
170,170,May 23,Paper Roses,Anita Bryant,5,June 13,6,0CdsYCCygXgNYk7l1ULMht
171,171,May 30,Burning Bridges,Jack Scott,3,June 13,6,4PZ1es22XnUyLAM4GsCIlh
172,172,June 6,Everybody's Somebody's Fool,Connie Francis,1,June 27,8,1qC8zQRrdkZCwzQ5N4ECoD
173,173,June 6,Love You So,Ron Holden,7,June 13,3,31QMDoesgaC5uTbo7D9ea9
174,174,June 13,Swingin' School,Bobby Rydell,5,June 20,3,2V0U78Xx4KY843bJbuq586
175,175,June 13,Happy-Go-Lucky Me,Paul Evans,10,June 13,1,18osa1s3PwYRkxM8ARgLnN
176,176,June 20,Alley Oop,The Hollywood Argyles,1,July 11,8,2bgl6miORpyE4ql0gl7KHR
177,177,June 27,Because They're Young,Duane Eddy,4,July 4,4,3Ek534aTTKexQoOp8kMuOa
178,178,June 27,I'm Sorry,Brenda Lee,1,July 18,11,4LJcNiq2pBb8OeqrGdBJQw
179,179,June 27,A Rockin' Good Way,Dinah Washington and Brook Benton,7,June 27,3,4ydSzWwxqtNdP4VPfQe8bf
180,180,July 4,That's All You Gotta Do,Brenda Lee,6,July 4,5,1aTHBOr0V8XnbgHSRPyJtg
181,181,July 4,My Home Town,Paul Anka,8,July 4,2,3hcn9Z8JGvq0h4vCe2Oa2R
182,182,July 4,Mule Skinner Blues,The Fendermen,5,July 11,5,6WHF5nnnZpkcCxkPTImpPD
183,183,July 11,Only the Lonely,Roy Orbison,2,July 25,8,0PkBTqRtN25z3oKasWoKlj
184,184,July 11,When Will I Be Loved,The Everly Brothers,8,July 18,2,0x1m7c3igAKDQG8E0hETUA
185,185,July 18,Tell Laura I Love Her,Ray Peterson,7,August 1,5,7DKNcWFgJiy4CZ377CZc1f
186,186,July 18,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,Brian Hyland,1,August 8,8,4aTCNddtjztjuK2EOgz7ZZ
187,187,July 25,Image of a Girl,The Safaris,6,August 1,5,7KfwGraITe6aLd827Wq0bh
188,188,July 25,"Please Help Me, I'm Falling",Hank Locklin,8,August 1,3,3eTYeAOll7LaINGjv9Fnvi
189,189,August 1,It's Now or Never,Elvis Presley,1,August 15,11,6yP3V5FXNNJU8Z441vxhCV
190,190,August 8,"Walk, Don't Run",The Ventures,2,August 29,9,7B2pUwzvlbNG9D855r9ugf
191,191,August 8,Walkin' to New Orleans,Fats Domino,6,August 15,2,5TcEq6qNQJ7HXeTxwB3ZGB
192,192,August 15,Finger Poppin' Time,Hank Ballard & The Midnighters,7,August 15,4,4s4lOqkY2CL7aQA1AAbEvx
193,193,August 15,The Twist,Chubby Checker,1,September 19,12,4YCnTYbq3oL1Lqpyxg33CU
194,194,August 22,Volare,Bobby Rydell,4,September 5,5,6aTY7Dx6719A0rTsYY7NgK
195,195,August 22,Mission Bell,Donnie Brooks,7,September 5,4,58Kwy28BJtmNvt1nbexGFe
196,196,August 29,In My Little Corner of the World,Anita Bryant,10,August 29,1,1NAvZNIUfC79QACBJ7qhK0
197,197,September 5,My Heart Has a Mind of Its Own,Connie Francis,1,September 26,10,7qinPLZ41lgIGuT40EAFs0
198,198,September 5,Theme from The Apartment,Ferrante & Teicher,10,September 5,3,7CUN42trHz1jiAooYUW1GC
199,199,September 12,Mr. Custer,Larry Verne,1,October 10,7,0afR4FfSwgg5QFF1Wpuwil
200,200,September 12,Chain Gang,Sam Cooke,2,October 3,8,7v1858htfU0srTDwhxeka8
201,201,September 12,Kiddio,Brook Benton,7,September 19,4,2FAHjuQfoqMht1pe3holgP
202,202,September 12,Yogi,The Ivy Three,8,September 19,2,6aYhaZimD3LNDVakOdQ1Oi
203,203,September 19,A Million to One,Jimmy Charles,5,September 26,5,2HWaoy5exkRIulp61fOvQj
204,204,September 26,So Sad (To Watch Good Love Go Bad),The Everly Brothers,7,October 10,5,5kWk5QBbhqGLoK3fOlCvA8
205,205,September 26,Save the Last Dance for Me,The Drifters,1,October 17,9,391TUcoPonqYykPkSZ5Z9U
206,206,October 10,Devil or Angel,Bobby Vee,6,October 17,5,5JL4jmmogEql62ljHdlYP6
207,207,October 10,I Want to Be Wanted,Brenda Lee,1,October 24,6,03cB3gd91JsP3bCERC6Lmf
208,208,October 24,Let's Think About Living,Bob Luman,7,October 24,2,7FhIxFg3PwfDHZhs0jRZsw
209,209,October 31,You Talk Too Much,Joe Jones,3,November 14,4,6cUIm6LO1lcMfDlBeGa4H4
210,210,October 31,Poetry in Motion,Johnny Tillotson,2,November 14,7,2HKafPuzWaKsCzcE3zFOIX
211,211,October 31,Georgia on My Mind,Ray Charles,1,November 14,5,6yMGxqKj0218mFR5KqsMRq
212,212,November 7,Stay,Maurice Williams & the Zodiacs,1,November 21,5,4jtxk24eyUY3F9y3ucjxe0
213,213,November 7,"Let's Go, Let's Go, Let's Go",Hank Ballard & the Midnighters,6,November 21,5,21DgU0qlRVbQ5b4DrBFdAc
214,214,November 7,Blue Angel,Roy Orbison,9,November 7,2,4LRhSbyCwaaKTBfeeizCm4
215,215,November 14,Last Date,Floyd Cramer,2,November 28,10,6KB3UH8BVVQqbe24eBfJZn
216,216,November 14,A Thousand Stars,Kathy Young with the Innocents,3,December 12,8,7Dy27tUFbWYz0LvjwLZNOm
217,217,November 21,Are You Lonesome Tonight?,Elvis Presley,1,November 28,11,4xUqqie4bBKufHtlMuZS3k
218,218,November 21,New Orleans,U.S. Bonds,6,November 28,3,02Pnl8bz7IBddYpUWogdYT
219,219,November 28,North to Alaska,Johnny Horton,4,December 19,8,6DbyJ8RYF66AjcJZqYKjqb
220,220,November 28,Alone at Last,Jackie Wilson,8,November 28,1,5QZyGPDlIyk75zl8sOOXbh
221,221,December 5,He Will Break Your Heart,Jerry Butler,7,December 5,3,2ZJZcqM60OwgqTO1OvJpHL
222,222,December 5,Sailor,Lolita,5,December 19,4,5kiOcF236n4lhQMwGI5NEA
223,223,December 12,Many Tears Ago,Connie Francis,7,December 26,4,4tFENy9kf1zjzRn00eI0I3
224,224,December 19,You're Sixteen,Johnny Burnette,8,December 26,4,5NOITvzXKvrqsRqJz5FgIJ
225,225,December 12,Wonderland by Night,Bert Kaempfert,1,January 9,10,1xDkYGbHn8BSLVRGFrYeuq
226,226,December 12,Exodus,Ferrante & Teicher,2,January 23,11,7MIzIo0Z9S8zmBiXdGwOeS
227,227,December 26,"Corrina, Corinna",Ray Peterson,9,January 9,5,N
228,228,December 31[1],Angel Baby,Rosie and the Originals,5,January 23,7,71keN33KR0rS5jwKi4JNLE
229,229,January 9,Will You Love Me Tomorrow,The Shirelles,1,January 30,7,25IiJu0DjOqsnQXgNHWp5i
230,230,January 9,Rubber Ball,Bobby Vee,6,January 9,5,35gkASz2Cb1VryMGIuEPjX
231,231,January 16,Calcutta,Lawrence Welk,1,February 13,9,2iR5ItVdY6WTMvPEgNT3ri
232,232,January 23,Shop Around,The Miracles,2,February 20,6,47IRIQxGDe2Sc6F4pe2FMf
233,233,January 23,Calendar Girl,Neil Sedaka,4,February 13,5,7Gpx2fNJiilvrf9Ss8qbit
234,234,January 30,Emotions,Brenda Lee,7,February 13,4,60jQTAr2OkFcV4SWSRz3st
235,235,February 6,My Empty Arms,Jackie Wilson,9,February 6,1,7CHmNiReghVLKbD032HHwz
236,236,February 13,Pony Time,Chubby Checker,1,February 27,8,1INWPr855fwWdAOeecbu0W
237,237,February 13,There's a Moon Out Tonight,The Capris,3,February 27,4,3hy4WKSFmCsyQbwAgPixMc
238,238,February 20,Dedicated to the One I Love,The Shirelles,3,March 27,9,1mFrjW8e8fuAOowlU3Q3Dr
239,239,February 20,Wheels,The String-a-Longs,3,March 6,6,6tPA07JAS9p9mEOVhLdFJp
240,240,February 27,Surrender,Elvis Presley,1,March 20,8,1aECQTfv5SO42lU4fvrdJJ
241,241,February 27,Don't Worry,Marty Robbins,3,March 20,7,0dPfKBYyPmoSfoLJqeKAs4
242,242,February 27,Where the Boys Are,Connie Francis,4,March 20,5,70UvKFI48DAQ2suS58bu5l
243,243,February 27,Ebony Eyes,The Everly Brothers,8,March 20,4,63oCradne6LGBBo4MxIQwq
244,244,March 6,Baby Sittin' Boogie,Buzz Clifford,6,March 13,3,759mOolQH5z1Qn0aVnbZiV
245,245,March 13,Spanish Harlem,Ben E. King,10,March 13,1,3UCmuRdeTriWgOZMEJsfqZ
246,246,March 20,Apache,Jørgen Ingmann and his Guitar,2,April 3,5,0FKNRNN2mcY9dBjenoxbeY
247,247,March 20,Walk Right Back,The Everly Brothers,7,March 27,4,7wHvCwzBDk1TwSeCDuQnMR
248,248,March 27,Blue Moon,The Marcels,1,April 3,8,0pnfT3OLqlnIvO0uMYgCfM
249,249,March 27,Gee Whiz (Look at His Eyes),Carla Thomas,10,March 27,1,68IngNKFxLJQZvTyzYIKIg
250,250,April 3,On the Rebound,Floyd Cramer,4,April 17,6,2vdjYcYAmectRUOiR9Blk3
251,251,April 3,Runaway,Del Shannon,1,April 24,9,45Szkclj1lt4ubm7RFK68t
252,252,April 3,(I Don't Know Why) But I Do,Frogman,4,April 24,5,1a9EyBydOYhE7SGSodUIjP
253,253,April 10,Mother-in-Law,Ernie K-Doe,1,May 22,8,7qEwxMKJu8EsjvOoxMJoTT
